Time [min:sec]	P [h Pa]	T [¡ÆC]	U [%]	Wsp [m/s]	Wdir [¡Æ]	Lon [¡Æ]   	Lat [¡Æ]  	Altitude [m]	Dew [¡ÆC]	Vi Te [¡ÆC]	Rs [m/min]
00:00         	1009.0  	25.60 	72   	2.0      	200     	129.025126	35.165542	0.0         	20.2    	28.2      	121.6     
00:02         	1008.9  	25.60 	72   	2.0      	200     	129.025126	35.165541	1.2         	20.2    	28.3      	37.2      
00:04         	1008.7  	25.60 	72   	2.0      	200     	129.025126	35.165541	2.5         	20.2    	28.3      	37.2      
00:06         	1008.6  	25.60 	72   	1.9      	200     	129.025126	35.165541	3.7         	20.2    	28.3      	37.2      
00:08         	1008.4  	25.60 	72   	1.9      	200     	129.025126	35.165541	5.0         	20.2    	28.3      	37.2      
00:10         	1008.3  	25.60 	72   	1.9      	200     	129.025126	35.165541	6.2         	20.2    	28.3      	37.2      
00:12         	1008.1  	25.60 	72   	1.9      	200     	129.025126	35.165541	7.4         	20.2    	28.3      	37.2      
00:14         	1008.0  	25.59 	72   	1.9      	200     	129.025126	35.165541	8.7         	20.2    	28.3      	37.2      
00:16         	1007.9  	25.59 	72   	1.9      	200     	129.025126	35.165541	9.9         	20.2    	28.3      	37.2      
00:18         	1007.7  	25.59 	72   	1.8      	200     	129.025125	35.165541	11.2        	20.2    	28.3      	37.2      
00:20         	1007.6  	25.59 	72   	1.8      	200     	129.025125	35.165541	12.4        	20.3    	28.3      	37.2      
00:22         	1007.4  	25.59 	72   	1.8      	200     	129.025125	35.165541	13.7        	20.3    	28.3      	37.2      
00:24         	1007.3  	25.59 	72   	1.8      	200     	129.025125	35.165541	14.9        	20.3    	28.3      	37.2      
00:26         	1007.2  	25.59 	73   	1.8      	200     	129.025125	35.165541	16.1        	20.3    	28.3      	37.2      
00:28         	1007.0  	25.59 	73   	1.7      	200     	129.025125	35.165541	17.4        	20.3    	28.3      	37.2      
00:30         	1006.9  	25.59 	73   	1.7      	200     	129.025125	35.165541	18.6        	20.3    	28.3      	37.2      
00:32         	1006.7  	25.59 	73   	1.7      	200     	129.025125	35.165541	19.9        	20.3    	28.3      	37.2      
00:34         	1006.6  	25.59 	73   	1.7      	200     	129.025125	35.165541	21.1        	20.3    	28.3      	37.2      
00:36         	1006.5  	25.59 	73   	1.7      	200     	129.025125	35.165541	22.3        	20.3    	28.3      	37.2      
00:38         	1006.3  	25.59 	73   	1.7      	200     	129.025125	35.165541	23.6        	20.3    	28.3      	37.2      
00:40         	1006.2  	25.58 	73   	1.6      	200     	129.025125	35.165541	24.8        	20.3    	28.3      	37.2      
00:42         	1006.0  	25.58 	73   	1.6      	200     	129.025125	35.165541	26.1        	20.3    	28.3      	37.2      
00:44         	1005.9  	25.58 	73   	1.6      	200     	129.025125	35.165541	27.3        	20.4    	28.3      	37.2      
00:46         	1005.7  	25.58 	73   	1.6      	200     	129.025125	35.165541	28.5        	20.4    	28.3      	37.2      
00:48         	1005.6  	25.58 	73   	1.6      	200     	129.025125	35.165541	29.8        	20.4    	28.3      	37.2      
00:50         	1005.5  	25.58 	73   	1.6      	200     	129.025125	35.165541	31.0        	20.4    	28.3      	37.2      
00:52         	1005.3  	25.58 	73   	1.5      	200     	129.025125	35.165541	32.3        	20.4    	28.3      	37.2      
00:54         	1005.2  	25.58 	73   	1.5      	200     	129.025125	35.165541	33.5        	20.4    	28.3      	37.2      
00:56         	1005.0  	25.58 	73   	1.5      	200     	129.025125	35.165540	34.8        	20.4    	28.3      	37.2      
00:58         	1004.9  	25.58 	73   	1.5      	200     	129.025125	35.165540	36.0        	20.4    	28.3      	37.2      
01:00         	1004.8  	25.58 	73   	1.5      	200     	129.025125	35.165540	37.2        	20.4    	28.3      	37.2      
01:02         	1004.6  	25.58 	73   	1.4      	200     	129.025125	35.165540	38.5        	20.4    	28.3      	37.2      
01:04         	1004.5  	25.58 	73   	1.4      	200     	129.025125	35.165540	39.7        	20.4    	28.3      	37.2      
01:06         	1004.3  	25.57 	73   	1.4      	200     	129.025125	35.165540	41.0        	20.4    	28.3      	37.2      
01:08         	1004.2  	25.57 	73   	1.4      	200     	129.025125	35.165540	42.2        	20.5    	28.3      	37.2      
01:10         	1004.0  	25.57 	73   	1.4      	200     	129.025125	35.165540	43.4        	20.5    	28.3      	37.2      
01:12         	1003.9  	25.57 	73   	1.4      	200     	129.025125	35.165540	44.7        	20.5    	28.3      	37.2      
01:14         	1003.8  	25.57 	73   	1.3      	200     	129.025125	35.165540	45.9        	20.5    	28.3      	37.2      
01:16         	1003.6  	25.57 	74   	1.3      	200     	129.025125	35.165540	47.2        	20.5    	28.3      	37.2      
01:18         	1003.5  	25.57 	74   	1.3      	200     	129.025124	35.165540	48.4        	20.5    	28.3      	37.2      
01:20         	1003.3  	25.57 	74   	1.3      	200     	129.025124	35.165540	49.6        	20.5    	28.3      	37.2      
01:22         	1003.2  	25.57 	74   	1.3      	200     	129.025124	35.165540	50.9        	20.5    	28.3      	37.2      
01:24         	1003.1  	25.57 	74   	1.2      	200     	129.025124	35.165540	52.1        	20.5    	28.3      	37.2      
01:26         	1002.9  	25.57 	74   	1.2      	200     	129.025124	35.165540	53.4        	20.5    	28.3      	37.2      
01:28         	1002.8  	25.57 	74   	1.2      	200     	129.025124	35.165540	54.6        	20.5    	28.3      	37.2      
01:30         	1002.6  	25.57 	74   	1.2      	200     	129.025124	35.165540	55.9        	20.5    	28.3      	37.2      
01:32         	1002.5  	25.56 	74   	1.2      	200     	129.025124	35.165540	57.1        	20.5    	28.3      	37.2      
01:34         	1002.4  	25.56 	74   	1.2      	200     	129.025124	35.165540	58.3        	20.6    	28.3      	37.2      
01:36         	1002.2  	25.56 	74   	1.1      	200     	129.025124	35.165540	59.6        	20.6    	28.3      	37.2      
